url,name,price,color,image link,original_price,description,ASIN,price_rance
https://www.amazon.com/Amazon-Essentials-Grainge-Unisex-Babies/dp/B0D9ZQFB1T?ref=dlx_95384_dg_dcl_B0D9ZQFB1T_dt_mese20_f6&pf_rd_r=6RGVERFSKEZ8T53FZ5AS&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Amazon Essentials x Sofia Grainge Unisex Toddlers and Babies' Zip Hoodie Sweatshirt,$12.53,,https://m.media-amazon.com/images/I/81wn+GbUmfL._AC_SX679_.jpg,,"Product details  
       
                  
                            Fabric type 
                      
                            Body: 55% Cotton, 45% Polyester; Sleeve Lining: 60% Cotton, 40% Polyester; Lining: 100% Polyester 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash Warm, Tumble Dry 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Zipper 
                      
                      About this item      SOFIA GRAINGE COLLABORATION: Inspired styles for little ones, created in collaboration with Sofia Grainge  FABRIC: Cozy, French terry knit  DETAILS: Featuring lined hood for extra warmth, front pockets and raglan sleeves. Ribbed cuffs and bottom hem. Top applied stitching detail at pocketing and seams  RELAXED FIT: Relaxed, comfortable fit through the body",B0D9ZF1DCS,"$12.53$12.53 - $18.20$18.20                                
                          
                                           
              
                               
              
                                   
              
                                                        
              
                                     
              
                            
                         Free Returns on some sizes and colors  
                    
       Select Size to see the return policy for the item"
https://www.amazon.com/Nine-West-NW-2229SVSV-Silver-Tone/dp/B07H3BQYY4?ref=dlx_95384_dg_dcl_B07H3BQYY4_dt_mese20_f6&pf_rd_r=W743Q7Y7J53M0PAZJ6WH&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Nine West Women's Mesh Bracelet Watch,18.35,,https://m.media-amazon.com/images/I/81GATdabZ8L._AC_SY879_.jpg,,"Product details  
       
                  
                            Material 
                      
                            Stainless-steel 
                      
         
                  
                            Country of Origin 
                      
                            China 
                      
                      About this item      Slightly domed mineral crystal lens; silver-tone dial with matching hands and markers  Silver-tone mesh bracelet with adjustable sliding buckle  Japanese-quartz Movement  Case Diameter: 31mm  Not water resistant","October 24, 2018",
https://www.amazon.com/Amazon-Essentials-Standard-Colored-Jegging/dp/B07J32SY38?ref=dlx_95384_dg_dcl_B07J32SY38_dt_mese20_f6&pf_rd_r=HRH537AFBFPFCX3Y3H1C&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Amazon Essentials Women's Mid-Rise Stretch Pull-On Jegging (Available in Plus Size),$17.37,White,https://m.media-amazon.com/images/I/61l4No2TD-L._AC_SX679_.jpg,,"Product details  
       
                  
                            Fabric type 
                      
                            64.5% Cotton, 32.5% Polyester, 3% Elastane 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash Warm, Tumble Dry 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Pull On 
                      
                      About this item      SKINNY FIT: Snug fit through hip, thigh, and leg. Mid rise, sits below the natural waist.  SUPER STRETCH DENIM: Super soft and stretchy denim that keeps its shape for all-day comfort and fit, while still offering an authentic denim look.  YOUR EVERDAY JEGGING: Wear these jeggings just like your favorite pair of jeans with the extra comfort and ease. This slim and flattering silhouette allows for endless styling options.  DETAILS: Wide elastic pull-on waistband for extra comfort and front and back pockets, belt loops, and faux fly give the look and function of true denim. All denim is unique and will vary in color due to wash, finish, and dye.  INSEAM: Offered in 3 lengths - Short 27"", Regular 29"", & Long 31"" each with a 5"" leg opening on US size 6.",B07BJ8JY34,"$17.37$17.37 - $24.80$24.80                                
                          
                                           
              
                               
              
                                   
              
                                                        
              
                                     
              
                            
                         Free Returns on some sizes and colors  
                    
       Select Size to see the return policy for the item"
https://www.amazon.com/Amazon-Essentials-Lightweight-Long-Sleeve-Water-Resistant/dp/B09RGGJ5SF?ref=dlx_95384_dg_dcl_B09RGGJ5SF_dt_mese20_f6&pf_rd_r=25AS4R4WGDFQH24JBW9M&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Amazon Essentials Women's Lightweight Long-Sleeve Water-Resistant Packable Puffer Jacket (Available in Plus Size),38.80,,https://m.media-amazon.com/images/I/81AZ7W7yueL._AC_SY879_.jpg,,"Product details  
       
                  
                            Fabric type 
                      
                            Shell: 100% Nylon; Lining: 100% Polyester; Fill: 100% Polyester 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash Cold, Tumble Dry 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Zipper 
                      
         
                  
                            Country of Origin 
                      
                            Vietnam 
                      
                      About this item      REGULAR FIT: Close but comfortable fit through chest, waist, and hips.  WATER-RESISTANT TAFFETA: Plain weave shell fabric in 100% Nylon for solid colors and 100% Polyester for prints and neon colors. Fully lined, quilted and insulated. Designed to keep you extra protected for the coldest winter days  WATER RESISTANT PACKABLE PUFFER: This ultralight packable puffer is the perfect essential for bringing comfort and warmth to your everyday. Wear it with a t-shirt for brisk fall days or layer with a sweater for the colder winter months. It's easy packability makes it the perfect on the go jacket.  DETAILS: Features a classic quilted pattern, flattering seam details for the perfect fit, front zipper, zip pockets, stand collar, long sleeves with elasticized cuffs, and packs neatly into included carrying bag.",B0738J92C4,
https://www.amazon.com/Peanuts-Patricks-Snoopy-Clover-T-shirt/dp/B07B6N4N7W?ref=dlx_95384_dg_dcl_B07B6N4N7W_dt_mese20_f6&pf_rd_r=N3SG91YNAQKY6C4DRBCT&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Peanuts St. Patrick's Snoopy Lucky Charm Clover T-Shirt,,Asphalt Grey,https://m.media-amazon.com/images/I/B1EWx17iUcL._CLa%7C2140%2C2000%7C81D8TbdeqQL.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_SX679_.png,,"Product details  
       
                  
                            Fabric type 
                      
                            Solid colors: 100% Cotton; Heather Grey: 90% Cotton, 10% Polyester; Dark Heather and Heather Blue: 50% Cotton, 50% Polyester; OR Dark Heather, Heather Blue and All Other Heathers: 65% Polyester, 35% Cotton; Girls' Heathers: 60% Cotton, 40% Polyester 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Pull On 
                      
                      About this item      St. Patricks Day design. Officially Licensed by Peanuts  Graphic Artwork OPNT-0091  Lightweight, Classic fit, Double-needle sleeve and bottom hem",,
https://www.amazon.com/Goodthreads-Long-Sleeve-Thermal-Pullover-Heather/dp/B07BMCBRZC?ref=dlx_95384_dg_dcl_B07BMCBRZC_dt_mese20_f6&pf_rd_r=2NEMRJTY3XFXGCEDFGR4&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,"Amazon Essentials Men's Pullover Hoodie, Long-Sleeve Slub Thermal (Previously GoodThreads)",17.43,,https://m.media-amazon.com/images/I/81R2X7DAk3L._AC_SY879_.jpg,,"Product details  
       
                  
                            Fabric type 
                      
                            100% Cotton 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash Warm, Tumble Dry 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Pull On 
                      
         
                  
                            Country of Origin 
                      
                            Pakistan 
                      
                      About this item      REGULAR FIT: Experience a comfortable, easy fit with our essentials hoodie that moves with you through the shoulders, chest, and waist, ideal for men's daily wear  SLUB COTTON THERMAL: Enjoy a lightweight, soft thermal stitch in our thermal hoodie for men, crafted from slub cotton to add unique texture and warmth to your style  VERSATILE T-SHIRT HOODIE: Transition effortlessly into fall with our essential hoodie that compliment any outfit, whether layered under a coat or worn alone for a trendy look  FUNCTIONAL DESIGN: Stay cozy with our essentials men's hoodie that feature a single-layer hood, adjustable drawcord, rib trim sleeves, and a convenient hand pocket for added utility  UPDATED BRAND: Formerly known as Goodthreads, this updated essentials hoodie now offers the trusted quality of Amazon Essentials in a style great for streetwear hoodie enthusiasts",,
https://www.amazon.com/Amazon-Essentials-Full-Zip-Jacket-DNU-Heather/dp/B096YM9DD3?ref=dlx_95384_dg_dcl_B096YM9DD3_dt_mese20_f6&pf_rd_r=WAPXPXD6JKYZ9551SQCC&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Amazon Essentials Men's Full-Zip Fleece Jacket (Available in Big & Tall),19.44,,https://m.media-amazon.com/images/I/91dBZUoq+-L._AC_SY879_.jpg,,"Product details  
       
                  
                            Fabric type 
                      
                            100% Polyester (certified recycled) 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash Cold, Tumble Dry 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Zipper 
                      
         
                  
                            Country of Origin 
                      
                            Indonesia 
                      
                      About this item      REGULAR FIT: Comfortable, easy fit through the shoulders, chest, and waist.  POLAR FLEECE: Double-sided knit fabric with a brushed finish and subtle texture, this soft and cozy midweight fleece keeps you warm and insulated while withstanding everyday wear.  COLD-WEATHER STYLING: Designed for outdoor activity, this polar fleece jacket takes you everywhere you need to go. Perfect as a finishing touch for a cool-weather look or a comfy base layer when it's time to bundle up.  DETAILS: Features a mock-neck with full-length center-front zipper, two zippered hand pockets, and elastic-bound sleeve cuffs and bottom opening.  This product contains 100% Recycled Claim Standard (RCS) certified recycled polyester",,
https://www.amazon.com/Disney-Minnie-Spring-Flowers-T-Shirt/dp/B09RFX4Z8T?ref=dlx_95384_dg_dcl_B09RFX4Z8T_dt_mese20_f6&pf_rd_r=ZDPM1P26CY5GSB509XPR&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Disney Minnie Mouse Icon Spring Flowers T-Shirt,,Black,https://m.media-amazon.com/images/I/B1pppR4gVKL._CLa%7C2140%2C2000%7C91VvfM8za6L.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_SX679_.png,,"Product details  
       
                  
                            Fabric type 
                      
                            Solid colors: 100% Cotton; Heather Grey: 90% Cotton, 10% Polyester; Dark Heather and Heather Blue: 50% Cotton, 50% Polyester; OR Dark Heather, Heather Blue and All Other Heathers: 65% Polyester, 35% Cotton; Girls' Heathers: 60% Cotton, 40% Polyester 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Pull On 
                      
                      About this item      Official Disney Merchandise  Disney Minnie Mouse T Shirts for Women, Men, Boys and Girls; Floral Minnie T Shirts; Minnie T Shirts for Disneyland; Minnie T Shirts for Walt Disney World; Floral Disney Tee  Lightweight, Classic fit, Double-needle sleeve and bottom hem",,
https://www.amazon.com/Magically-Delicious-Rainbow-Patricks-T-Shirt/dp/B07PKGFCFK?ref=dlx_95384_dg_dcl_B07PKGFCFK_dt_mese20_f6&pf_rd_r=GCSVM26E8A8X7NGE4778&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,CuteComfy Magically Delicious 80s Vintage St. Patrick's Day Lucky Charm Green Retro Rainbow Short Sleeve T-Shirt - Small - Unisex-Adults,,,https://m.media-amazon.com/images/I/B1SynY3uFjL._CLa%7C2140%2C2000%7CA1PB65xj%2BLL.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_SX679_.png,,"Product details  
       
                  
                            Fabric type 
                      
                            Solid colors: 100% Cotton; Heather Grey: 90% Cotton, 10% Polyester; Dark Heather and Heather Blue: 50% Cotton, 50% Polyester; OR Dark Heather, Heather Blue and All Other Heathers: 65% Polyester, 35% Cotton; Girls' Heathers: 60% Cotton, 40% Polyester 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Pull On 
                      
                      About this item      Fun pastel marshmallow colors with magically delicious rainbow. Fun St. Patricks day party gift for her, men, women or anyone. Green vintage effect and 80s and 90s fun graphics from the 1980s eighties tv and movies.  Celebrate being an 80s child or 90s kid with a retro popular culture parody theme for St Patricks day or any day! Fun gift for him, her, trendy unisex clothes apparel for your outfit.  Lightweight, Classic fit, Double-needle sleeve and bottom hem",,
https://www.amazon.com/Most-Likely-Irish-goodbye-Funny/dp/B0BXLJT1R9?ref=dlx_95384_dg_dcl_B0BXLJT1R9_dt_mese20_f6&pf_rd_r=2H0DW1W3R2GCWX0SAP54&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Most Likely To Do An Irish goodbye Funny st. patrick Pullover Hoodie,,,https://m.media-amazon.com/images/I/B1mEhjGJ2nL._CLa%7C2140%2C2000%7CB1gNG5r2LEL.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_SX679_.png,,"Product details  
       
                  
                            Fabric type 
                      
                            Solid colors: 80% Cotton, 20% Polyester; Heather Grey: 75% Cotton, 25% Poly; Dark Heather: 50% Cotton, 50% Polyester 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Pull On 
                      
                      About this item      This Funny Most Likely to Do an Irish goodbye, Perfect Irish Present that Features a Shamrock, Be Proud of Your Irish Heritage and Wear the Irish Shamrock with Pride, Grab This Awesome Tee Most Likely To Do An Irish goodbye Now and Show It Off to World  Great Design with Text that Says Most Likely to Do an Irish goodbye , as A Last-Minute Holiday Office Party Present, Father's Day or Mother's Day Memento, Appreciation or Graduation Day Moment, or Any Time of Year or Season to Celebrate Someone Special.  8.5 oz, Classic fit, Twill-taped neck",,
https://www.amazon.com/Funny-St-Patricks-Motorboating-T-Shirt/dp/B09QZY2H91?ref=dlx_95384_dg_dcl_B09QZY2H91_dt_mese20_f6&pf_rd_r=5XDNQ04D1KGCYHFYWAKS&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Funny St Patricks Day Adult Humor For Men Motorboating Joke T-Shirt,,Black,https://m.media-amazon.com/images/I/B1pppR4gVKL._CLa%7C2140%2C2000%7C816pmI-HRgL.png%7C0%2C0%2C2140%2C2000%2B0.0%2C0.0%2C2140.0%2C2000.0_AC_SX679_.png,,"Product details  
       
                  
                            Fabric type 
                      
                            Solid colors: 100% Cotton; Heather Grey: 90% Cotton, 10% Polyester; Dark Heather and Heather Blue: 50% Cotton, 50% Polyester; OR Dark Heather, Heather Blue and All Other Heathers: 65% Polyester, 35% Cotton; Girls' Heathers: 60% Cotton, 40% Polyester 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Pull On 
                      
                      About this item      Inappropriate St Pattys Shirts  Funny Sexy St Patricks Day Clothing For Men Inappropriate T-shirt  Lightweight, Classic fit, Double-needle sleeve and bottom hem",,
https://www.amazon.com/Robert-Lee-Morris-Soho-Sculptural/dp/B00SL19XB2?ref=dlx_95384_dg_dcl_B00SL19XB2_dt_mese20_f6&pf_rd_r=29W6B8VFXAASWA23S3JF&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Robert Lee Morris Soho Prisma Two-Tone Sculptural Drop Earrings,25.80,,https://m.media-amazon.com/images/I/812ewrL9gqL._AC_SY695_.jpg,,"Product details  
       
                  
                            Material 
                      
                            Metal 
                      
         
                  
                            Metal type 
                      
                            Base 
                      
         
                  
                            Back Finding 
                      
                            French Wire 
                      
         
                  
                            Earring design 
                      
                            Drop 
                      
         
                  
                            Metal weight 
                      
                            5 g 
                      
         
                  
                            Item type name 
                      
                            Drop Earrings 
                      
         
                  
                            Country of Origin 
                      
                            China 
                      
                      About this item      Two-tone metal  Length: 3.25inch  Width: 1.2inch  Fish hook closure  Imported",B00SL19XB2,
https://www.amazon.com/Amazon-Essentials-Quarter-Zip-Pullover-Jackets/dp/B096WMFTFT?ref=dlx_95384_dg_dcl_B096WMFTFT_dt_mese20_f6&pf_rd_r=BF5ZB501WB8J50V5GXK3&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Amazon Essentials Boys and Toddlers' Polar Fleece Quarter-Zip Pullover Jacket,$19.44,,https://m.media-amazon.com/images/I/81QQSrQJz8L._AC_SX679_.jpg,,"Product details  
       
                  
                            Fabric type 
                      
                            100% Polyester (certified recycled) 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash Cold, Tumble Dry 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Zipper 
                      
                      About this item      RELAXED FIT: Relaxed, comfortable fit through the body  POLAR FLEECE: Double-sided knit fabric with a brushed finish and subtle texture, this soft and cozy midweight fleece keeps you warm and insulated while withstanding everyday wear.  COOL WEATHER LAYERING: This pullover quarter-zip, long-sleeve jacket is a wardrobe staple for an easy, casual look and extra layer of warmth. Perfect on its own for spring or fall or under a puffer for colder winter months.  DETAILS: Mock-neck stand-up collar. Quarter-length zip at front neckline. Elastic binding at sleeve cuff and hem. Front on-seam pockets.",B096WMFNVD,"$19.44$19.44 - $28.50$28.50                                
                          
                                           
              
                               
              
                                   
              
                                                        
              
                                     
              
                            
                         Free Returns on some sizes and colors  
                    
       Select Size to see the return policy for the item"
https://www.amazon.com/Amazon-Essentials-Womens-Black-Crocodile/dp/B09RXHHW4W?ref=dlx_95384_dg_dcl_B09RXHHW4W_dt_mese20_f6&pf_rd_r=R5WY0F6AKTN5J1XEAWFT&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,Amazon Essentials Women's Buckle Mule,25.42,Black Crocodile Print,https://m.media-amazon.com/images/I/71nUuCDNn+L._AC_SX695_.jpg,,"Product details  
       
                  
                            Care instructions 
                      
                            Machine Wash 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Sole material 
                      
                            Faux Leather 
                      
         
                  
                            Shaft height 
                      
                            Not_applicable 
                      
         
                  
                            Country of Origin 
                      
                            China 
                      
                      About this item      COMFORT AND FIT: These loafer mules have a padded insole with high-quality memory foam for added comfort. Available in regular and wide-widths. The open back ensures a comfortable fit.  MATERIAL: Amazon Essentials shoes are made from high-quality alternative leather materials. This style has a faux crocodile embossed leather upper and is lined in faux leather.  STYLE: These slipper mules have a stylish square-toe, metallic bit hardware, and a modern upper design.  DETAILS: 3/8 inch heel with a flexible non-slip sole.  DESIGN: These mule slides take you from day to night and can be paired with your favorite Amazon Essentials outfit.",,
https://www.amazon.com/Amazon-Essentials-Standard-Slim-Fit-5-Pocket/dp/B07P2D867K?ref=dlx_95384_dg_dcl_B07P2D867K_dt_mese20_f6&pf_rd_r=QP8XYTNXEQG9FCBAY9FF&pf_rd_p=817b5322-e847-40c6-b349-ad71657786f6,"Amazon Essentials Men's Slim-Fit Pants, 5-Pocket Stretch Twill Design",$17.92,Dark Khaki Brown,https://m.media-amazon.com/images/I/71E2zZzpAgL._AC_SY879_.jpg,,"Product details  
       
                  
                            Fabric type 
                      
                            99% Cotton, 1% Elastane 
                      
         
                  
                            Care instructions 
                      
                            Machine Wash Warm, Tumble Dry 
                      
         
                  
                            Origin 
                      
                            Imported 
                      
         
                  
                            Closure type 
                      
                            Zipper 
                      
                      About this item      SLIM FIT STYLE: Enjoy a sleek look with slim-fit pants for men, fitted through the hip and thigh with a tapered leg, offering comfort and style while sitting just below the waist  STRETCH TWILL FABRIC: Experience comfort with slim-fit men's pants, crafted from stretch cotton twill making these pants for men a wardrobe staple  CLASSIC 5-POCKET DESIGN: Enjoy versatile styling with the timeless design of these stretch twill pants for men, featuring jeans-inspired 5-pocket construction for any occasion  DURABLE DETAILS: Appreciate robust construction in men's work pants, featuring shank button closure, rivets, and a zipper fly for long-lasting reliability and functionality  PRECISE LEG OPENING: Achieve a polished appearance with men's pants, crafted for a streamlined fit ideal for everyday use",B07P3G9464,"$17.92$17.92 - $23.70$23.70                                
                          
                                           
              
                               
              
                                   
              
                                                        
              
                                     
              
                            
                         Free Returns on some sizes and colors  
                    
       Select Size to see the return policy for the item"
